epoch,step,train_loss,val_iou,val_loss
0,0,,0.3475692570209503,1.1187825202941895
0,9,0.8404244780540466,,
0,19,0.672838568687439,,
0,29,0.5550663471221924,,
0,39,0.4859412908554077,,
0,49,0.43546685576438904,,
0,59,0.39249688386917114,,
0,69,0.37700459361076355,,
0,79,0.3045843839645386,,
0,89,0.31931573152542114,,
0,99,0.2986897826194763,,
0,109,0.2713652551174164,,
0,114,,0.8449977040290833,0.2651076316833496
1,119,0.2741394639015198,,
1,129,0.2570611834526062,,
1,139,0.24722975492477417,,
1,149,0.2137524038553238,,
1,159,0.23129291832447052,,
1,169,0.20820246636867523,,
1,179,0.20346471667289734,,
1,189,0.3539751470088959,,
1,199,0.22268469631671906,,
1,209,0.20868608355522156,,
1,219,0.19704300165176392,,
1,229,0.19909414649009705,,
1,229,,0.8595983982086182,0.21550467610359192
2,239,0.24293853342533112,,
2,249,0.18789459764957428,,
2,259,0.1787930428981781,,
2,269,0.1871349960565567,,
2,279,0.17554664611816406,,
2,289,0.17045637965202332,,
2,299,0.18870478868484497,,
2,309,0.15851138532161713,,
2,319,0.18562504649162292,,
2,329,0.15975937247276306,,
2,339,0.1749652773141861,,
2,344,,0.8662412762641907,0.20064467191696167
3,349,0.1450759321451187,,
3,359,0.18815869092941284,,
3,369,0.14525291323661804,,
3,379,0.15003426373004913,,
3,389,0.13213802874088287,,
3,399,0.15348197519779205,,
3,409,0.14922192692756653,,
3,419,0.14729255437850952,,
3,429,0.1592044085264206,,
3,439,0.15407304465770721,,
3,449,0.15623418986797333,,
3,459,0.1593978852033615,,
3,459,,0.8674948811531067,0.19518719613552094
4,469,0.1429041475057602,,
4,479,0.13869065046310425,,
4,489,0.16993966698646545,,
4,499,0.1662878841161728,,
4,509,0.13731145858764648,,
4,519,0.13637562096118927,,
4,529,0.1337434947490692,,
4,539,0.13812291622161865,,
4,549,0.13665302097797394,,
4,559,0.13599005341529846,,
4,569,0.1523476243019104,,
4,574,,0.8624904751777649,0.20430952310562134
5,579,0.129545196890831,,
5,589,0.15142901241779327,,
5,599,0.12882831692695618,,
5,609,0.14632023870944977,,
5,619,0.1525849997997284,,
5,629,0.13275180757045746,,
5,639,0.14352232217788696,,
5,649,0.1276923418045044,,
5,659,0.13072389364242554,,
5,669,0.11959479749202728,,
5,679,0.1122051328420639,,
5,689,0.11295892298221588,,
5,689,,0.8740314245223999,0.18718770146369934
6,699,0.1094529777765274,,
6,709,0.12436597049236298,,
6,719,0.11633255332708359,,
6,729,0.11214479058980942,,
6,739,0.1137905865907669,,
6,749,0.11165101826190948,,
6,759,0.11801323294639587,,
6,769,0.1157386302947998,,
6,779,0.11004959791898727,,
6,789,0.11803814768791199,,
6,799,0.12587620317935944,,
6,804,,0.8714151978492737,0.19396302103996277
7,809,0.10358963161706924,,
7,819,0.10135108977556229,,
7,829,0.10227259248495102,,
7,839,0.10654588043689728,,
7,849,0.0973854809999466,,
7,859,0.10680787265300751,,
7,869,0.11457890272140503,,
7,879,0.12620759010314941,,
7,889,0.10181122273206711,,
7,899,0.11406636238098145,,
7,909,0.10093094408512115,,
7,919,0.10735282301902771,,
7,919,,0.8741739392280579,0.1901453733444214
8,929,0.10150521993637085,,
8,939,0.10824084281921387,,
8,949,0.09804627299308777,,
8,959,0.09962014108896255,,
8,969,0.09824752807617188,,
8,979,0.11585851013660431,,
8,989,0.09736890345811844,,
8,999,0.11436743289232254,,
8,1009,0.11469989269971848,,
8,1019,0.11828108131885529,,
8,1029,0.11139626055955887,,
8,1034,,0.8595798015594482,0.22875647246837616
9,1039,0.10695503652095795,,
9,1049,0.12788590788841248,,
9,1059,0.11570773273706436,,
9,1069,0.12276288866996765,,
9,1079,0.12733571231365204,,
9,1089,0.146018847823143,,
9,1099,0.13842740654945374,,
9,1109,0.12426416575908661,,
9,1119,0.10899567604064941,,
9,1129,0.12233926355838776,,
9,1139,0.10348464548587799,,
9,1149,0.11088016629219055,,
9,1149,,0.8712753653526306,0.19555719196796417
